x,T-V
393.67,90.6759
414.6,90.7495
441.36,90.8599
465.69,90.9736
490.02,91.0773
514.36,91.1777
537.23,91.2747
558.15,91.3583
583.45,91.462
607.3,91.5691
631.14,91.6761
655,91.7799
680.1,91.8835
703.09,91.9777
724.52,92.0707
746.34,92.1689
769.32,92.2844
793.66,92.3627
818.95,92.4729
843.67,92.5923
866.07,92.6919
889.83,92.7968
913.19,92.9069
937.14,93.0158
962.05,93.1472
986.77,93.2494
1010.14,93.3649
1033.89,93.4883
1057.06,93.6078
1081.98,93.7498
1105.54,93.8626
1140.49,94.0444
1173.9,94.2209
