x,V-T
4.364,89.59703
8,89.5984
13.091,89.59907
18.909,89.59835
24,89.59694
29.091,89.59831
34.182,89.5969
38,89.59826
42.909,89.59963
47.091,89.59892
51.091,89.60028
54.909,89.60096
60,89.60371
63.818,89.60577
68.909,89.60783
72.909,89.60989
76.909,89.61542
82,89.61886
85.818,89.62439
90,89.62853
96.909,89.63889
104.909,89.65203
114,89.66654
122.909,89.68522
132,89.7039
139.818,89.72674
149.818,89.75234
158.909,89.77656
167.818,89.80494
176.909,89.83471
186,89.86656
195.744,89.89846
204.678,89.93249
213.727,89.96476
222.705,90.00036
232.807,90.03525
246.588,90.08113
257.628,90.12455
267.585,90.15697
274.729,90.18692
282.666,90.21935
291.541,90.24957
