x,Tliq,Tsol
-0.00014,1080.27,1080.27
0.02937,1099.55,1085.6
0.10018,1144.82,1099.65
0.10025,1144.86,1099.67
0.19968,1191.81,1125.72
0.19979,1191.85,1125.75
0.29919,1232.11,1160.15
0.29931,1232.15,1160.2
0.40039,1271.57,1201.29
0.4005,1271.62,1201.34
0.4999,1308.53,1242.43
0.50001,1308.57,1242.47
0.59942,1344.65,1286.91
0.59952,1344.68,1286.96
0.69894,1379.1,1328.89
0.69902,1379.12,1328.93
0.80015,1411.04,1370.88
0.80022,1411.06,1370.9
0.89968,1437.12,1411.95
0.89985,1437.16,1412.02
0.99923,1454.85,1454.92
0.9993,1454.86,1454.95
