x,Tliq,Tsol
0.00072,1060.59,1060.54
0.00079,1060.69,1060.59
0.1002,1194.86,1121.88
0.10029,1195.01,1121.94
0.19947,1350.62,1177.92
0.1997,1350.93,1178.05
0.29891,1452.2,1228.16
0.29921,1452.42,1228.29
0.40021,1509.04,1263.37
0.40043,1509.14,1263.44
0.49974,1549.01,1290.12
0.50009,1549.14,1290.21
0.59917,1583.54,1306.2
0.59965,1583.69,1306.19
0.69882,1613.56,1315.1
0.69911,1613.66,1315.25
0.79993,1653.84,1416.88
0.80035,1654.04,1417.46
0.84792,1676.92,1499.58
0.89944,1704.92,1590.66
0.89959,1705.01,1590.92
0.95937,1741.83,1699.02
0.99905,1767.63,1767.63
