x,Tliq,Tsol
-9e-05,960.769,960.751
7.51813e-07,960.788,960.769
0.10005,981.158,980.013
0.10014,981.175,980.029
0.20011,997.239,995.641
0.20011,997.239,995.641
0.30007,1011.245,1008.91
0.30024,1011.268,1008.932
0.4002,1023.035,1021.042
0.40029,1023.044,1021.052
0.50025,1033.5,1031.919
0.50034,1033.509,1031.928
0.60029,1042.812,1041.755
0.60029,1042.812,1041.755
0.70033,1049.94,1049.803
0.70042,1049.946,1049.809
0.80038,1055.356,1055.352
0.80046,1055.36,1055.356
0.90033,1059.72,1059.724
0.90041,1059.724,1059.727
1.00041,1063.278,1063.275
1.00045,1063.279,1063.277
