x,Tliq,TE
0.00093,586.408,492.551
0.01538,581.65,493.481
0.01556,581.609,493.492
0.05442,575.937,497.026
0.05442,575.937,497.026
0.08935,575.934,503.514
0.08935,575.934,503.514
0.11926,568.133,504.045
0.11934,568.104,504.031
0.14216,567.032,502.169
0.14269,567.059,502.212
0.21537,567.027,507.832
0.21539,567.025,507.832
0.26434,557.407,500.751
0.26477,557.363,500.732
0.28095,561.252,505.895
0.2816,561.303,505.923
0.30339,557.681,499.777
0.30341,557.679,499.776
0.3335,557.952,504.415
0.33395,557.954,504.448
0.36854,552.042,501.945
0.36875,551.946,501.936
0.39449,536.547,503.665
0.39461,536.517,503.668
0.42201,537.202,502.706
0.42222,537.158,502.711
0.48517,517.506,504.437
0.48558,517.416,504.425
0.55925,523.02,499.673
0.55931,523.04,499.672
0.6335,557.128,501.902
0.63371,557.223,501.916
0.64651,561.627,503.037
0.64659,561.724,503.04
0.66544,582.394,503.536
0.66625,583.058,503.558
0.69428,600.046,503.594
0.69483,600.346,503.556
0.72171,614.236,500.364
0.72185,614.294,500.352
0.75707,629.594,500.436
0.75734,629.81,500.501
0.77757,648.996,505.962
0.77786,649.129,505.973
0.85636,675.228,503.584
0.85695,675.396,503.544
0.87118,681.546,502.717
0.87194,682.021,502.851
0.90978,700.912,505.078
0.91042,701.191,505.011
0.93537,709.977,497.237
0.93603,710.215,497.134
0.97487,724.26,500.842
0.97493,724.278,500.853
0.99968,727.143,504.507
